"Product FAQ","Product-FAQ"
"Product FAQ Section","Product-FAQ-sectie"
"Save FAQ Entry","FAQ-item opslaan"
"Delete FAQ Entry","FAQ-item verwijderen"
"FAQ Entry","FAQ-item"
"New FAQ Entry","Nieuw FAQ-item"
"Edit FAQ Entry","FAQ-item bewerken"
"Add FAQ Entry","FAQ-item toevoegen"
"Entry","Item"
"ID","ID"
"Question","Vraag"
"Answer","Antwoord"
"Product ID","Product-ID"
"Position","Positie"
"Published","Gepubliceerd"
"Not published","Niet gepubliceerd"
"Updated","Bijgewerkt"
"Edit","Bewerken"
"Delete","Verwijderen"
"Save","Opslaan"
"Delete this FAQ entry?","Dit FAQ-item verwijderen?"
"It will be removed from every product page and from the FAQ page.","Het verdwijnt van alle productpagina's en van de FAQ-pagina."
"Delete this FAQ entry? It will be removed from every product page and from the FAQ page.","Dit FAQ-item verwijderen? Het verdwijnt van alle productpagina's en van de FAQ-pagina."
"Unpublished entries are hidden from product pages and from the FAQ page.","Niet-gepubliceerde items verschijnen niet op productpagina's en niet op de FAQ-pagina."
"Basic HTML is allowed: links, line breaks, bold, italic and lists.","Eenvoudige HTML mag: links, regeleinden, vet, cursief en lijsten."
"Leave at 0 to show this entry on every product page. Enter a product ID to attach it to that one product.","Laat 0 staan om het item op elke productpagina te tonen. Vul een product-ID in om het aan dat ene product te koppelen."
"Lower numbers appear first. Product-specific entries always sort above shared ones.","Lagere nummers komen eerst. Productspecifieke items staan altijd boven gedeelde items."
"A FAQ entry needs a question.","Een FAQ-item heeft een vraag nodig."
"The FAQ entry has been saved.","Het FAQ-item is opgeslagen."
"The FAQ entry has been deleted.","Het FAQ-item is verwijderd."
"The FAQ entry could not be saved: %1","Het FAQ-item kon niet worden opgeslagen: %1"
"The FAQ entry could not be deleted: %1","Het FAQ-item kon niet worden verwijderd: %1"
"The FAQ entry could not be removed: %1","Het FAQ-item kon niet worden verwijderd: %1"
"This FAQ entry no longer exists.","Dit FAQ-item bestaat niet meer."
"No FAQ entry was selected.","Er is geen FAQ-item geselecteerd."
"No FAQ entry with ID %1.","Geen FAQ-item met ID %1."
"Frequently asked questions","Veelgestelde vragen"
"General","Algemeen"
"Enable module","Module inschakelen"
"Turns off the product block and the FAQ page at once. Entries are kept.","Schakelt het productblok en de FAQ-pagina in één keer uit. De items blijven bewaard."
"Where it shows","Waar het verschijnt"
"Show on product pages","Tonen op productpagina's"
"Include shared entries on product pages","Gedeelde items meenemen op productpagina's"
"A shared entry is one with product ID 0. Turn this off to show only entries written for the product itself.","Een gedeeld item heeft product-ID 0. Zet dit uit om alleen de items van het product zelf te tonen."
"Publish the FAQ page","De FAQ-pagina publiceren"
"Every published entry on one page at /faq.","Alle gepubliceerde items op één pagina, op /faq."
"Open the first entry","Het eerste item open tonen"
"The rest start collapsed. All of them are in the HTML either way.","De rest begint dichtgeklapt. Ze staan hoe dan ook allemaal in de HTML."
"Fall back to the default text","Terugvallen op de standaardtekst"
"When a store view has no text of its own, show the default store's text rather than nothing.","Heeft een store view geen eigen tekst, toon dan die van de standaardwinkel in plaats van niets."
"Heading","Kop"
"Shown above the entries on both the product page and the FAQ page.","Verschijnt boven de items, zowel op de productpagina als op de FAQ-pagina."
