"Product FAQ","Ürün SSS"
"Product FAQ Section","Ürün SSS Bölümü"
"Save FAQ Entry","SSS Kaydını Kaydet"
"Delete FAQ Entry","SSS Kaydını Sil"
"FAQ Entry","SSS Kaydı"
"New FAQ Entry","Yeni SSS Kaydı"
"Edit FAQ Entry","SSS Kaydını Düzenle"
"Add FAQ Entry","SSS Kaydı Ekle"
"Entry","Kayıt"
"ID","No"
"Question","Soru"
"Answer","Cevap"
"Product ID","Ürün No"
"Position","Sıra"
"Published","Yayında"
"Not published","Yayında değil"
"Updated","Güncellendi"
"Edit","Düzenle"
"Delete","Sil"
"Save","Kaydet"
"Delete this FAQ entry?","Bu SSS kaydı silinsin mi?"
"It will be removed from every product page and from the FAQ page.","Tüm ürün sayfalarından ve SSS sayfasından kaldırılır."
"Delete this FAQ entry? It will be removed from every product page and from the FAQ page.","Bu SSS kaydı silinsin mi? Tüm ürün sayfalarından ve SSS sayfasından kaldırılır."
"Unpublished entries are hidden from product pages and from the FAQ page.","Yayında olmayan kayıtlar ürün sayfalarında ve SSS sayfasında görünmez."
"Basic HTML is allowed: links, line breaks, bold, italic and lists.","Temel HTML kullanılabilir: bağlantı, satır sonu, kalın, italik ve listeler."
"Leave at 0 to show this entry on every product page. Enter a product ID to attach it to that one product.","Her ürün sayfasında görünmesi için 0 bırakın. Tek bir ürüne bağlamak için o ürünün numarasını yazın."
"Lower numbers appear first. Product-specific entries always sort above shared ones.","Küçük sayılar önce gelir. Ürüne özel kayıtlar her zaman ortak kayıtların üstünde sıralanır."
"A FAQ entry needs a question.","SSS kaydı için soru zorunludur."
"The FAQ entry has been saved.","SSS kaydı kaydedildi."
"The FAQ entry has been deleted.","SSS kaydı silindi."
"The FAQ entry could not be saved: %1","SSS kaydı kaydedilemedi: %1"
"The FAQ entry could not be deleted: %1","SSS kaydı silinemedi: %1"
"The FAQ entry could not be removed: %1","SSS kaydı kaldırılamadı: %1"
"This FAQ entry no longer exists.","Bu SSS kaydı artık mevcut değil."
"No FAQ entry was selected.","Hiçbir SSS kaydı seçilmedi."
"No FAQ entry with ID %1.","%1 numaralı SSS kaydı yok."
"Frequently asked questions","Sık sorulan sorular"
"General","Genel"
"Enable module","Modülü etkinleştir"
"Turns off the product block and the FAQ page at once. Entries are kept.","Ürün bloğunu ve SSS sayfasını birlikte kapatır. Kayıtlar silinmez."
"Where it shows","Nerede görünsün"
"Show on product pages","Ürün sayfalarında göster"
"Include shared entries on product pages","Ortak kayıtları ürün sayfalarına da ekle"
"A shared entry is one with product ID 0. Turn this off to show only entries written for the product itself.","Ortak kayıt, ürün numarası 0 olan kayıttır. Yalnızca ürünün kendi kayıtlarını göstermek için kapatın."
"Publish the FAQ page","SSS sayfasını yayınla"
"Every published entry on one page at /faq.","Yayındaki tüm kayıtlar /faq adresinde tek sayfada."
"Open the first entry","İlk kaydı açık başlat"
"The rest start collapsed. All of them are in the HTML either way.","Diğerleri kapalı başlar. Her durumda hepsi HTML içindedir."
"Fall back to the default text","Varsayılan metne geri dön"
"When a store view has no text of its own, show the default store's text rather than nothing.","Bir mağaza görünümünün kendi metni yoksa boş bırakmak yerine varsayılan mağazanın metnini göster."
"Heading","Başlık"
"Shown above the entries on both the product page and the FAQ page.","Hem ürün sayfasında hem SSS sayfasında kayıtların üstünde görünür."
