"Product FAQ","FAQ do produto"
"Product FAQ Section","Secção de FAQ do produto"
"Save FAQ Entry","Guardar entrada de FAQ"
"Delete FAQ Entry","Eliminar entrada de FAQ"
"FAQ Entry","Entrada de FAQ"
"New FAQ Entry","Nova entrada de FAQ"
"Edit FAQ Entry","Editar entrada de FAQ"
"Add FAQ Entry","Adicionar entrada de FAQ"
"Entry","Entrada"
"ID","ID"
"Question","Pergunta"
"Answer","Resposta"
"Product ID","ID do produto"
"Position","Posição"
"Published","Publicada"
"Not published","Não publicada"
"Updated","Atualizada"
"Edit","Editar"
"Delete","Eliminar"
"Save","Guardar"
"Delete this FAQ entry?","Eliminar esta entrada de FAQ?"
"It will be removed from every product page and from the FAQ page.","Desaparece de todas as páginas de produto e da página de FAQ."
"Delete this FAQ entry? It will be removed from every product page and from the FAQ page.","Eliminar esta entrada de FAQ? Desaparece de todas as páginas de produto e da página de FAQ."
"Unpublished entries are hidden from product pages and from the FAQ page.","As entradas não publicadas não aparecem nas páginas de produto nem na página de FAQ."
"Basic HTML is allowed: links, line breaks, bold, italic and lists.","É permitido HTML simples: ligações, quebras de linha, negrito, itálico e listas."
"Leave at 0 to show this entry on every product page. Enter a product ID to attach it to that one product.","Deixe 0 para a entrada aparecer em todas as páginas de produto. Indique um ID de produto para a associar apenas a esse produto."
"Lower numbers appear first. Product-specific entries always sort above shared ones.","Os números mais baixos aparecem primeiro. As entradas próprias de um produto ficam sempre acima das partilhadas."
"A FAQ entry needs a question.","Uma entrada de FAQ precisa de uma pergunta."
"The FAQ entry has been saved.","A entrada de FAQ foi guardada."
"The FAQ entry has been deleted.","A entrada de FAQ foi eliminada."
"The FAQ entry could not be saved: %1","Não foi possível guardar a entrada de FAQ: %1"
"The FAQ entry could not be deleted: %1","Não foi possível eliminar a entrada de FAQ: %1"
"The FAQ entry could not be removed: %1","Não foi possível remover a entrada de FAQ: %1"
"This FAQ entry no longer exists.","Esta entrada de FAQ já não existe."
"No FAQ entry was selected.","Não foi selecionada nenhuma entrada de FAQ."
"No FAQ entry with ID %1.","Não há nenhuma entrada de FAQ com o ID %1."
"Frequently asked questions","Perguntas frequentes"
"General","Geral"
"Enable module","Ativar o módulo"
"Turns off the product block and the FAQ page at once. Entries are kept.","Desliga de uma vez o bloco do produto e a página de FAQ. As entradas mantêm-se."
"Where it shows","Onde aparece"
"Show on product pages","Mostrar nas páginas de produto"
"Include shared entries on product pages","Incluir as entradas partilhadas nas páginas de produto"
"A shared entry is one with product ID 0. Turn this off to show only entries written for the product itself.","Uma entrada partilhada tem o ID de produto 0. Desligue para mostrar apenas as entradas escritas para o próprio produto."
"Publish the FAQ page","Publicar a página de FAQ"
"Every published entry on one page at /faq.","Todas as entradas publicadas numa só página, em /faq."
"Open the first entry","Abrir a primeira entrada"
"The rest start collapsed. All of them are in the HTML either way.","As restantes começam fechadas. De qualquer forma, estão todas no HTML."
"Fall back to the default text","Recorrer ao texto predefinido"
"When a store view has no text of its own, show the default store's text rather than nothing.","Quando uma vista de loja não tem texto próprio, mostrar o da loja predefinida em vez de nada."
"Heading","Título"
"Shown above the entries on both the product page and the FAQ page.","Aparece acima das entradas, tanto na página de produto como na de FAQ."
