"Product FAQ","FAQ prodotto"
"Product FAQ Section","Sezione FAQ prodotto"
"Save FAQ Entry","Salva voce FAQ"
"Delete FAQ Entry","Elimina voce FAQ"
"FAQ Entry","Voce FAQ"
"New FAQ Entry","Nuova voce FAQ"
"Edit FAQ Entry","Modifica voce FAQ"
"Add FAQ Entry","Aggiungi voce FAQ"
"Entry","Voce"
"ID","ID"
"Question","Domanda"
"Answer","Risposta"
"Product ID","ID prodotto"
"Position","Posizione"
"Published","Pubblicata"
"Not published","Non pubblicata"
"Updated","Aggiornata"
"Edit","Modifica"
"Delete","Elimina"
"Save","Salva"
"Delete this FAQ entry?","Eliminare questa voce FAQ?"
"It will be removed from every product page and from the FAQ page.","Sparirà da tutte le schede prodotto e dalla pagina FAQ."
"Delete this FAQ entry? It will be removed from every product page and from the FAQ page.","Eliminare questa voce FAQ? Sparirà da tutte le schede prodotto e dalla pagina FAQ."
"Unpublished entries are hidden from product pages and from the FAQ page.","Le voci non pubblicate non compaiono né sulle schede prodotto né sulla pagina FAQ."
"Basic HTML is allowed: links, line breaks, bold, italic and lists.","È ammesso l'HTML di base: link, a capo, grassetto, corsivo ed elenchi."
"Leave at 0 to show this entry on every product page. Enter a product ID to attach it to that one product.","Lasciare 0 perché la voce compaia su ogni scheda prodotto. Inserire un ID prodotto per legarla a quel solo prodotto."
"Lower numbers appear first. Product-specific entries always sort above shared ones.","I numeri più bassi vengono prima. Le voci proprie di un prodotto stanno sempre sopra quelle condivise."
"A FAQ entry needs a question.","Una voce FAQ richiede una domanda."
"The FAQ entry has been saved.","La voce FAQ è stata salvata."
"The FAQ entry has been deleted.","La voce FAQ è stata eliminata."
"The FAQ entry could not be saved: %1","Non è stato possibile salvare la voce FAQ: %1"
"The FAQ entry could not be deleted: %1","Non è stato possibile eliminare la voce FAQ: %1"
"The FAQ entry could not be removed: %1","Non è stato possibile rimuovere la voce FAQ: %1"
"This FAQ entry no longer exists.","Questa voce FAQ non esiste più."
"No FAQ entry was selected.","Non è stata selezionata alcuna voce FAQ."
"No FAQ entry with ID %1.","Nessuna voce FAQ con ID %1."
"Frequently asked questions","Domande frequenti"
"General","Generale"
"Enable module","Attiva il modulo"
"Turns off the product block and the FAQ page at once. Entries are kept.","Disattiva insieme il blocco prodotto e la pagina FAQ. Le voci restano."
"Where it shows","Dove compare"
"Show on product pages","Mostra sulle schede prodotto"
"Include shared entries on product pages","Includi le voci condivise nelle schede prodotto"
"A shared entry is one with product ID 0. Turn this off to show only entries written for the product itself.","Una voce condivisa ha ID prodotto 0. Disattivare per mostrare solo le voci scritte per il prodotto stesso."
"Publish the FAQ page","Pubblica la pagina FAQ"
"Every published entry on one page at /faq.","Tutte le voci pubblicate in una sola pagina, all'indirizzo /faq."
"Open the first entry","Apri la prima voce"
"The rest start collapsed. All of them are in the HTML either way.","Le altre restano chiuse. In ogni caso sono tutte nell'HTML."
"Fall back to the default text","Ripiega sul testo predefinito"
"When a store view has no text of its own, show the default store's text rather than nothing.","Quando una vista negozio non ha un testo proprio, mostrare quello del negozio predefinito invece di niente."
"Heading","Titolo"
"Shown above the entries on both the product page and the FAQ page.","Compare sopra le voci, sia sulla scheda prodotto sia sulla pagina FAQ."
